,Age,Gender,O,C,E,A,N,Hassle,Severity
0,21,Male,31,27,17,33,24,Misplacing or losing things,2
1,21,Male,31,27,17,33,24,Silly practical mistakes,1
2,21,Male,31,27,17,33,24,Trouble with pets,3
3,21,Male,31,27,17,33,24,Difficulties with friends,4
4,21,Male,31,27,17,33,24,Regrets over past decision/s,3
5,21,Male,31,27,17,33,24,Concerned about the meaning of life,4
6,21,Male,31,27,17,33,24,Being lonely,2
7,21,Male,31,27,17,33,24,Inability to express oneself,3
8,21,Male,31,27,17,33,24,Fear of rejection,4
9,21,Male,31,27,17,33,24,Trouble making decisions,3
10,21,Male,31,27,17,33,24,Physical appearance,2
11,21,Male,31,27,17,33,24,Not seeing people,3
12,21,Male,31,27,17,33,24,Troubling thoughts about one’s future,4
13,21,Male,31,27,17,33,24,Not enough personal energy,3
14,21,Male,31,27,17,33,24,Concerns about getting ahead,1
15,21,Male,31,27,17,33,24,Fear of confrontation,2
16,21,Male,31,27,17,33,24,Wasting time,3
17,21,Male,31,27,17,33,24,"Not enough money for basic necessities (food, clothing, transportation, housing, healthcare etc.)",5
18,21,Male,31,27,17,33,24,Not enough money for wants (entertainment and recreation),3
19,21,Male,31,27,17,33,24,Concerns about owing money,4
20,21,Male,31,27,17,33,24,Concerns about money for emergencies,4
21,21,Male,31,27,17,33,24,Financial security,4
22,21,Male,31,27,17,33,24,Not enough time to do things one needs to,2
23,21,Male,31,27,17,33,24,Too many responsibilities,4
24,21,Male,31,27,17,33,24,Not getting enough rest,2
25,21,Male,31,27,17,33,24,Too many interruptions,1
26,21,Male,31,27,17,33,24,Not enough time for entertainment and recreation,3
27,21,Male,31,27,17,33,24,Too many meetings,2
28,21,Male,31,27,17,33,24,Social obligations,2
29,21,Male,31,27,17,33,24,Concerns about meeting high standards,4
30,21,Male,31,27,17,33,24,Noise,1
31,21,Male,31,27,17,33,24,Pollution,2
32,21,Male,31,27,17,33,24,Crime,4
33,21,Male,31,27,17,33,24,Traffic,3
34,21,Male,31,27,17,33,24,Concerns about news events,2
35,21,Male,31,27,17,33,24,Rising prices of common goods,4
36,21,Male,31,27,17,33,24,Concerns about accidents,3
37,21,Male,31,27,17,33,24,Yardwork or outside home maintenance,1
38,21,Male,31,27,17,33,24,Overloaded with family responsibilities,2
39,21,Male,31,27,17,33,24,Home maintenance (inside),1
40,21,Male,31,27,17,33,24,Concerns about medical treatment,4
41,21,Male,31,27,17,33,24,Physical illness,3
42,21,Male,31,27,17,33,24,Side effects of medication,1
43,21,Male,31,27,17,33,24,Concerns about health in general,3
44,21,Male,31,27,17,33,24,Concerns about bodily functions,3
45,21,Male,31,27,17,33,24,Dissatisfaction with academic performance,3
46,21,Male,31,27,17,33,24,Challenges with instructors,2
47,21,Male,31,27,17,33,24,Discontent with current academic responsibilities,4
48,21,Male,31,27,17,33,24,Concerns regarding academic transitions,2
49,21,Male,31,27,17,33,24,Difficulties with peers or classmates,3
50,21,Male,31,27,17,33,24,Challenges in managing group projects,3
51,21,Male,31,27,17,33,24,Getting late to class,1
52,21,Female,40,27,20,18,27,Misplacing or losing things,3
53,21,Female,40,27,20,18,27,Silly practical mistakes,2
54,21,Female,40,27,20,18,27,Trouble with pets,1
55,21,Female,40,27,20,18,27,Difficulties with friends,2
56,21,Female,40,27,20,18,27,Regrets over past decision/s,2
57,21,Female,40,27,20,18,27,Concerned about the meaning of life,1
58,21,Female,40,27,20,18,27,Being lonely,2
59,21,Female,40,27,20,18,27,Inability to express oneself,1
60,21,Female,40,27,20,18,27,Fear of rejection,2
61,21,Female,40,27,20,18,27,Trouble making decisions,3
62,21,Female,40,27,20,18,27,Physical appearance,3
63,21,Female,40,27,20,18,27,Not seeing people,2
64,21,Female,40,27,20,18,27,Troubling thoughts about one’s future,3
65,21,Female,40,27,20,18,27,Not enough personal energy,1
66,21,Female,40,27,20,18,27,Concerns about getting ahead,3
67,21,Female,40,27,20,18,27,Fear of confrontation,1
68,21,Female,40,27,20,18,27,Wasting time,1
69,21,Female,40,27,20,18,27,"Not enough money for basic necessities (food, clothing, transportation, housing, healthcare etc.)",1
70,21,Female,40,27,20,18,27,Not enough money for wants (entertainment and recreation),1
71,21,Female,40,27,20,18,27,Concerns about owing money,1
72,21,Female,40,27,20,18,27,Concerns about money for emergencies,1
73,21,Female,40,27,20,18,27,Financial security,1
74,21,Female,40,27,20,18,27,Not enough time to do things one needs to,1
75,21,Female,40,27,20,18,27,Too many responsibilities,2
76,21,Female,40,27,20,18,27,Not getting enough rest,3
77,21,Female,40,27,20,18,27,Too many interruptions,2
78,21,Female,40,27,20,18,27,Not enough time for entertainment and recreation,1
79,21,Female,40,27,20,18,27,Too many meetings,1
80,21,Female,40,27,20,18,27,Social obligations,1
81,21,Female,40,27,20,18,27,Concerns about meeting high standards,3
82,21,Female,40,27,20,18,27,Noise,2
83,21,Female,40,27,20,18,27,Pollution,1
84,21,Female,40,27,20,18,27,Crime,2
85,21,Female,40,27,20,18,27,Traffic,2
86,21,Female,40,27,20,18,27,Concerns about news events,1
87,21,Female,40,27,20,18,27,Rising prices of common goods,1
88,21,Female,40,27,20,18,27,Concerns about accidents,1
89,21,Female,40,27,20,18,27,Yardwork or outside home maintenance,1
90,21,Female,40,27,20,18,27,Overloaded with family responsibilities,1
91,21,Female,40,27,20,18,27,Home maintenance (inside),2
92,21,Female,40,27,20,18,27,Concerns about medical treatment,1
93,21,Female,40,27,20,18,27,Physical illness,1
94,21,Female,40,27,20,18,27,Side effects of medication,1
95,21,Female,40,27,20,18,27,Concerns about health in general,2
96,21,Female,40,27,20,18,27,Concerns about bodily functions,1
97,21,Female,40,27,20,18,27,Dissatisfaction with academic performance,1
98,21,Female,40,27,20,18,27,Challenges with instructors,1
99,21,Female,40,27,20,18,27,Discontent with current academic responsibilities,1
100,21,Female,40,27,20,18,27,Concerns regarding academic transitions,1
101,21,Female,40,27,20,18,27,Difficulties with peers or classmates,1
102,21,Female,40,27,20,18,27,Challenges in managing group projects,1
103,21,Female,40,27,20,18,27,Getting late to class,1
104,19,Female,30,21,19,32,24,Misplacing or losing things,3
105,19,Female,30,21,19,32,24,Silly practical mistakes,3
106,19,Female,30,21,19,32,24,Trouble with pets,3
107,19,Female,30,21,19,32,24,Difficulties with friends,4
108,19,Female,30,21,19,32,24,Regrets over past decision/s,4
109,19,Female,30,21,19,32,24,Concerned about the meaning of life,2
110,19,Female,30,21,19,32,24,Being lonely,2
111,19,Female,30,21,19,32,24,Inability to express oneself,2
112,19,Female,30,21,19,32,24,Fear of rejection,5
113,19,Female,30,21,19,32,24,Trouble making decisions,4
114,19,Female,30,21,19,32,24,Physical appearance,4
115,19,Female,30,21,19,32,24,Not seeing people,2
116,19,Female,30,21,19,32,24,Troubling thoughts about one’s future,2
117,19,Female,30,21,19,32,24,Not enough personal energy,3
118,19,Female,30,21,19,32,24,Concerns about getting ahead,3
119,19,Female,30,21,19,32,24,Fear of confrontation,3
120,19,Female,30,21,19,32,24,Wasting time,2
121,19,Female,30,21,19,32,24,"Not enough money for basic necessities (food, clothing, transportation, housing, healthcare etc.)",5
122,19,Female,30,21,19,32,24,Not enough money for wants (entertainment and recreation),4
123,19,Female,30,21,19,32,24,Concerns about owing money,4
124,19,Female,30,21,19,32,24,Concerns about money for emergencies,5
125,19,Female,30,21,19,32,24,Financial security,4
126,19,Female,30,21,19,32,24,Not enough time to do things one needs to,5
127,19,Female,30,21,19,32,24,Too many responsibilities,5
128,19,Female,30,21,19,32,24,Not getting enough rest,4
129,19,Female,30,21,19,32,24,Too many interruptions,4
130,19,Female,30,21,19,32,24,Not enough time for entertainment and recreation,4
131,19,Female,30,21,19,32,24,Too many meetings,4
132,19,Female,30,21,19,32,24,Social obligations,4
133,19,Female,30,21,19,32,24,Concerns about meeting high standards,4
134,19,Female,30,21,19,32,24,Noise,3
135,19,Female,30,21,19,32,24,Pollution,3
136,19,Female,30,21,19,32,24,Crime,3
137,19,Female,30,21,19,32,24,Traffic,3
138,19,Female,30,21,19,32,24,Concerns about news events,3
139,19,Female,30,21,19,32,24,Rising prices of common goods,3
140,19,Female,30,21,19,32,24,Concerns about accidents,3
141,19,Female,30,21,19,32,24,Yardwork or outside home maintenance,3
142,19,Female,30,21,19,32,24,Overloaded with family responsibilities,4
143,19,Female,30,21,19,32,24,Home maintenance (inside),3
144,19,Female,30,21,19,32,24,Concerns about medical treatment,4
145,19,Female,30,21,19,32,24,Physical illness,5
146,19,Female,30,21,19,32,24,Side effects of medication,4
147,19,Female,30,21,19,32,24,Concerns about health in general,4
148,19,Female,30,21,19,32,24,Concerns about bodily functions,4
149,19,Female,30,21,19,32,24,Dissatisfaction with academic performance,4
150,19,Female,30,21,19,32,24,Challenges with instructors,4
151,19,Female,30,21,19,32,24,Discontent with current academic responsibilities,4
152,19,Female,30,21,19,32,24,Concerns regarding academic transitions,3
153,19,Female,30,21,19,32,24,Difficulties with peers or classmates,3
154,19,Female,30,21,19,32,24,Challenges in managing group projects,3
155,19,Female,30,21,19,32,24,Getting late to class,3
156,20,Female,34,25,13,26,26,Misplacing or losing things,2
157,20,Female,34,25,13,26,26,Silly practical mistakes,1
158,20,Female,34,25,13,26,26,Trouble with pets,1
159,20,Female,34,25,13,26,26,Difficulties with friends,4
160,20,Female,34,25,13,26,26,Regrets over past decision/s,3
161,20,Female,34,25,13,26,26,Concerned about the meaning of life,4
162,20,Female,34,25,13,26,26,Being lonely,2
163,20,Female,34,25,13,26,26,Inability to express oneself,3
164,20,Female,34,25,13,26,26,Fear of rejection,4
165,20,Female,34,25,13,26,26,Trouble making decisions,2
166,20,Female,34,25,13,26,26,Physical appearance,3
167,20,Female,34,25,13,26,26,Not seeing people,1
168,20,Female,34,25,13,26,26,Troubling thoughts about one’s future,2
169,20,Female,34,25,13,26,26,Not enough personal energy,1
170,20,Female,34,25,13,26,26,Concerns about getting ahead,2
171,20,Female,34,25,13,26,26,Fear of confrontation,4
172,20,Female,34,25,13,26,26,Wasting time,1
173,20,Female,34,25,13,26,26,"Not enough money for basic necessities (food, clothing, transportation, housing, healthcare etc.)",5
174,20,Female,34,25,13,26,26,Not enough money for wants (entertainment and recreation),3
175,20,Female,34,25,13,26,26,Concerns about owing money,4
176,20,Female,34,25,13,26,26,Concerns about money for emergencies,4
177,20,Female,34,25,13,26,26,Financial security,4
178,20,Female,34,25,13,26,26,Not enough time to do things one needs to,3
179,20,Female,34,25,13,26,26,Too many responsibilities,4
180,20,Female,34,25,13,26,26,Not getting enough rest,3
181,20,Female,34,25,13,26,26,Too many interruptions,4
182,20,Female,34,25,13,26,26,Not enough time for entertainment and recreation,3
183,20,Female,34,25,13,26,26,Too many meetings,4
184,20,Female,34,25,13,26,26,Social obligations,4
185,20,Female,34,25,13,26,26,Concerns about meeting high standards,4
186,20,Female,34,25,13,26,26,Noise,2
187,20,Female,34,25,13,26,26,Pollution,3
188,20,Female,34,25,13,26,26,Crime,5
189,20,Female,34,25,13,26,26,Traffic,2
190,20,Female,34,25,13,26,26,Concerns about news events,4
191,20,Female,34,25,13,26,26,Rising prices of common goods,4
192,20,Female,34,25,13,26,26,Concerns about accidents,4
193,20,Female,34,25,13,26,26,Yardwork or outside home maintenance,3
194,20,Female,34,25,13,26,26,Overloaded with family responsibilities,4
195,20,Female,34,25,13,26,26,Home maintenance (inside),2
196,20,Female,34,25,13,26,26,Concerns about medical treatment,3
197,20,Female,34,25,13,26,26,Physical illness,4
198,20,Female,34,25,13,26,26,Side effects of medication,2
199,20,Female,34,25,13,26,26,Concerns about health in general,2
200,20,Female,34,25,13,26,26,Concerns about bodily functions,2
201,20,Female,34,25,13,26,26,Dissatisfaction with academic performance,2
202,20,Female,34,25,13,26,26,Challenges with instructors,3
203,20,Female,34,25,13,26,26,Discontent with current academic responsibilities,3
204,20,Female,34,25,13,26,26,Concerns regarding academic transitions,3
205,20,Female,34,25,13,26,26,Difficulties with peers or classmates,2
206,20,Female,34,25,13,26,26,Challenges in managing group projects,3
207,20,Female,34,25,13,26,26,Getting late to class,3
208,22,Female,31,29,30,34,25,Misplacing or losing things,4
209,22,Female,31,29,30,34,25,Silly practical mistakes,3
210,22,Female,31,29,30,34,25,Trouble with pets,4
211,22,Female,31,29,30,34,25,Difficulties with friends,5
212,22,Female,31,29,30,34,25,Regrets over past decision/s,5
213,22,Female,31,29,30,34,25,Concerned about the meaning of life,5
214,22,Female,31,29,30,34,25,Being lonely,5
215,22,Female,31,29,30,34,25,Inability to express oneself,4
216,22,Female,31,29,30,34,25,Fear of rejection,5
217,22,Female,31,29,30,34,25,Trouble making decisions,5
218,22,Female,31,29,30,34,25,Physical appearance,4
219,22,Female,31,29,30,34,25,Not seeing people,4
220,22,Female,31,29,30,34,25,Troubling thoughts about one’s future,4
221,22,Female,31,29,30,34,25,Not enough personal energy,3
222,22,Female,31,29,30,34,25,Concerns about getting ahead,4
223,22,Female,31,29,30,34,25,Fear of confrontation,4
224,22,Female,31,29,30,34,25,Wasting time,4
225,22,Female,31,29,30,34,25,"Not enough money for basic necessities (food, clothing, transportation, housing, healthcare etc.)",5
226,22,Female,31,29,30,34,25,Not enough money for wants (entertainment and recreation),3
227,22,Female,31,29,30,34,25,Concerns about owing money,3
228,22,Female,31,29,30,34,25,Concerns about money for emergencies,5
229,22,Female,31,29,30,34,25,Financial security,5
230,22,Female,31,29,30,34,25,Not enough time to do things one needs to,5
231,22,Female,31,29,30,34,25,Too many responsibilities,5
232,22,Female,31,29,30,34,25,Not getting enough rest,4
233,22,Female,31,29,30,34,25,Too many interruptions,5
234,22,Female,31,29,30,34,25,Not enough time for entertainment and recreation,3
235,22,Female,31,29,30,34,25,Too many meetings,4
236,22,Female,31,29,30,34,25,Social obligations,1
237,22,Female,31,29,30,34,25,Concerns about meeting high standards,5
238,22,Female,31,29,30,34,25,Noise,3
239,22,Female,31,29,30,34,25,Pollution,4
240,22,Female,31,29,30,34,25,Crime,5
241,22,Female,31,29,30,34,25,Traffic,5
242,22,Female,31,29,30,34,25,Concerns about news events,4
243,22,Female,31,29,30,34,25,Rising prices of common goods,4
244,22,Female,31,29,30,34,25,Concerns about accidents,4
245,22,Female,31,29,30,34,25,Yardwork or outside home maintenance,4
246,22,Female,31,29,30,34,25,Overloaded with family responsibilities,4
247,22,Female,31,29,30,34,25,Home maintenance (inside),4
248,22,Female,31,29,30,34,25,Concerns about medical treatment,5
249,22,Female,31,29,30,34,25,Physical illness,5
250,22,Female,31,29,30,34,25,Side effects of medication,4
251,22,Female,31,29,30,34,25,Concerns about health in general,4
252,22,Female,31,29,30,34,25,Concerns about bodily functions,4
253,22,Female,31,29,30,34,25,Dissatisfaction with academic performance,5
254,22,Female,31,29,30,34,25,Challenges with instructors,5
255,22,Female,31,29,30,34,25,Discontent with current academic responsibilities,5
256,22,Female,31,29,30,34,25,Concerns regarding academic transitions,3
257,22,Female,31,29,30,34,25,Difficulties with peers or classmates,5
258,22,Female,31,29,30,34,25,Challenges in managing group projects,5
259,22,Female,31,29,30,34,25,Getting late to class,4
260,21,Female,39,33,31,31,26,Misplacing or losing things,2
261,21,Female,39,33,31,31,26,Silly practical mistakes,2
262,21,Female,39,33,31,31,26,Trouble with pets,1
263,21,Female,39,33,31,31,26,Difficulties with friends,1
264,21,Female,39,33,31,31,26,Regrets over past decision/s,2
265,21,Female,39,33,31,31,26,Concerned about the meaning of life,1
266,21,Female,39,33,31,31,26,Being lonely,1
267,21,Female,39,33,31,31,26,Inability to express oneself,1
268,21,Female,39,33,31,31,26,Fear of rejection,2
269,21,Female,39,33,31,31,26,Trouble making decisions,1
270,21,Female,39,33,31,31,26,Physical appearance,2
271,21,Female,39,33,31,31,26,Not seeing people,2
272,21,Female,39,33,31,31,26,Troubling thoughts about one’s future,1
273,21,Female,39,33,31,31,26,Not enough personal energy,1
274,21,Female,39,33,31,31,26,Concerns about getting ahead,1
275,21,Female,39,33,31,31,26,Fear of confrontation,1
276,21,Female,39,33,31,31,26,Wasting time,2
277,21,Female,39,33,31,31,26,"Not enough money for basic necessities (food, clothing, transportation, housing, healthcare etc.)",1
278,21,Female,39,33,31,31,26,Not enough money for wants (entertainment and recreation),1
279,21,Female,39,33,31,31,26,Concerns about owing money,1
280,21,Female,39,33,31,31,26,Concerns about money for emergencies,1
281,21,Female,39,33,31,31,26,Financial security,1
282,21,Female,39,33,31,31,26,Not enough time to do things one needs to,3
283,21,Female,39,33,31,31,26,Too many responsibilities,2
284,21,Female,39,33,31,31,26,Not getting enough rest,2
285,21,Female,39,33,31,31,26,Too many interruptions,1
286,21,Female,39,33,31,31,26,Not enough time for entertainment and recreation,3
287,21,Female,39,33,31,31,26,Too many meetings,2
288,21,Female,39,33,31,31,26,Social obligations,1
289,21,Female,39,33,31,31,26,Concerns about meeting high standards,1
290,21,Female,39,33,31,31,26,Noise,2
291,21,Female,39,33,31,31,26,Pollution,4
292,21,Female,39,33,31,31,26,Crime,4
293,21,Female,39,33,31,31,26,Traffic,5
294,21,Female,39,33,31,31,26,Concerns about news events,3
295,21,Female,39,33,31,31,26,Rising prices of common goods,2
296,21,Female,39,33,31,31,26,Concerns about accidents,2
297,21,Female,39,33,31,31,26,Yardwork or outside home maintenance,1
298,21,Female,39,33,31,31,26,Overloaded with family responsibilities,1
299,21,Female,39,33,31,31,26,Home maintenance (inside),1
300,21,Female,39,33,31,31,26,Concerns about medical treatment,1
301,21,Female,39,33,31,31,26,Physical illness,1
302,21,Female,39,33,31,31,26,Side effects of medication,1
303,21,Female,39,33,31,31,26,Concerns about health in general,1
304,21,Female,39,33,31,31,26,Concerns about bodily functions,1
305,21,Female,39,33,31,31,26,Dissatisfaction with academic performance,2
306,21,Female,39,33,31,31,26,Challenges with instructors,2
307,21,Female,39,33,31,31,26,Discontent with current academic responsibilities,1
308,21,Female,39,33,31,31,26,Concerns regarding academic transitions,1
309,21,Female,39,33,31,31,26,Difficulties with peers or classmates,1
310,21,Female,39,33,31,31,26,Challenges in managing group projects,1
311,21,Female,39,33,31,31,26,Getting late to class,1
312,20,Female,40,26,23,25,28,Misplacing or losing things,1
313,20,Female,40,26,23,25,28,Silly practical mistakes,2
314,20,Female,40,26,23,25,28,Trouble with pets,5
315,20,Female,40,26,23,25,28,Difficulties with friends,3
316,20,Female,40,26,23,25,28,Regrets over past decision/s,5
317,20,Female,40,26,23,25,28,Concerned about the meaning of life,3
318,20,Female,40,26,23,25,28,Being lonely,2
319,20,Female,40,26,23,25,28,Inability to express oneself,5
320,20,Female,40,26,23,25,28,Fear of rejection,5
321,20,Female,40,26,23,25,28,Trouble making decisions,4
322,20,Female,40,26,23,25,28,Physical appearance,3
323,20,Female,40,26,23,25,28,Not seeing people,2
324,20,Female,40,26,23,25,28,Troubling thoughts about one’s future,5
325,20,Female,40,26,23,25,28,Not enough personal energy,3
326,20,Female,40,26,23,25,28,Concerns about getting ahead,5
327,20,Female,40,26,23,25,28,Fear of confrontation,2
328,20,Female,40,26,23,25,28,Wasting time,2
329,20,Female,40,26,23,25,28,"Not enough money for basic necessities (food, clothing, transportation, housing, healthcare etc.)",1
330,20,Female,40,26,23,25,28,Not enough money for wants (entertainment and recreation),2
331,20,Female,40,26,23,25,28,Concerns about owing money,1
332,20,Female,40,26,23,25,28,Concerns about money for emergencies,1
333,20,Female,40,26,23,25,28,Financial security,2
334,20,Female,40,26,23,25,28,Not enough time to do things one needs to,3
335,20,Female,40,26,23,25,28,Too many responsibilities,3
336,20,Female,40,26,23,25,28,Not getting enough rest,4
337,20,Female,40,26,23,25,28,Too many interruptions,3
338,20,Female,40,26,23,25,28,Not enough time for entertainment and recreation,2
339,20,Female,40,26,23,25,28,Too many meetings,2
340,20,Female,40,26,23,25,28,Social obligations,3
341,20,Female,40,26,23,25,28,Concerns about meeting high standards,5
342,20,Female,40,26,23,25,28,Noise,1
343,20,Female,40,26,23,25,28,Pollution,2
344,20,Female,40,26,23,25,28,Crime,2
345,20,Female,40,26,23,25,28,Traffic,3
346,20,Female,40,26,23,25,28,Concerns about news events,2
347,20,Female,40,26,23,25,28,Rising prices of common goods,3
348,20,Female,40,26,23,25,28,Concerns about accidents,3
349,20,Female,40,26,23,25,28,Yardwork or outside home maintenance,1
350,20,Female,40,26,23,25,28,Overloaded with family responsibilities,1
351,20,Female,40,26,23,25,28,Home maintenance (inside),1
352,20,Female,40,26,23,25,28,Concerns about medical treatment,1
353,20,Female,40,26,23,25,28,Physical illness,1
354,20,Female,40,26,23,25,28,Side effects of medication,2
355,20,Female,40,26,23,25,28,Concerns about health in general,2
356,20,Female,40,26,23,25,28,Concerns about bodily functions,2
357,20,Female,40,26,23,25,28,Dissatisfaction with academic performance,5
358,20,Female,40,26,23,25,28,Challenges with instructors,3
359,20,Female,40,26,23,25,28,Discontent with current academic responsibilities,5
360,20,Female,40,26,23,25,28,Concerns regarding academic transitions,4
361,20,Female,40,26,23,25,28,Difficulties with peers or classmates,3
362,20,Female,40,26,23,25,28,Challenges in managing group projects,3
363,20,Female,40,26,23,25,28,Getting late to class,1
364,21,Female,34,31,20,28,26,Misplacing or losing things,2
